Name,Description,Organism
UW151124 PCR Product,UW151124_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW151125 PCR Product,UW151125_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW151126 PCR Product,UW151126_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW151127 PCR Product,UW151127_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW159900 PCR Product,UW159900_OP035060_SEBASTES.MALIGER.fa,Sebastes maliger
UW159910 PCR Product,UW159910_OP035060_SEBASTES.MALIGER.fa,Sebastes maliger
UW159913 PCR Product,UW159913_OP035060_SEBASTES.MALIGER.fa,Sebastes maliger
DQ678601,"Sebastes matsubarae voucher FAKU81639 D-loop, partial sequence; mitochondrial",Sebastes matsubarae
DQ678556,"Sebastes melanops voucher SWFSC37-50 D-loop, partial sequence; mitochondrial",Sebastes melanops
NC_060710 PCR Product,"Sebastes melanops isolate 1003048 mitochondrion, complete genome",Sebastes melanops
OK048741 PCR Product,"Sebastes melanops isolate 1003048 mitochondrion, complete genome",Sebastes melanops
OR482534 PCR Product,"Sebastes melanops voucher UW:150232 mitochondrion, complete genome",Sebastes melanops
UW049037 PCR Product,UW049037_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112153 PCR Product,UW112153_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112154 PCR Product,UW112154_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112792 PCR Product,UW112792_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112794 PCR Product,UW112794_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112795 PCR Product,UW112795_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112798 PCR Product,UW112798_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112799 PCR Product,UW112799_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112800 PCR Product,UW112800_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112801 PCR Product,UW112801_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112802 PCR Product,UW112802_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW113237 PCR Product,UW113237_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW113238 PCR Product,UW113238_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW113239 PCR Product,UW113239_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW114061 PCR Product,UW114061_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW150217 PCR Product,UW150217_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW150226 PCR Product,UW150226_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW150232 PCR Product,UW150232_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW151121 PCR Product,UW151121_OR482534_Sebastes.melanops.fa,Sebastes melanops
DQ678617,"Sebastes melanosema voucher UW112698 D-loop, partial sequence; mitochondrial",Sebastes melanosema
DQ678517,"Sebastes melanostictus voucher SWFSC7-92 D-loop, partial sequence; mitochondrial",Sebastes melanostictus
MH378780 PCR Product,"Sebastes melanostictus isolate C0HG3AC mitochondrion, complete genome",Sebastes melanostictus
UW201553 PCR Product,UW201553_NC_056778_SEBASTES.MELANOSTICTUS.fa,Sebastes melanostictus
UW201554 PCR Product,UW201554_NC_056778_SEBASTES.MELANOSTICTUS.fa,Sebastes melanostictus
UW201555 PCR Product,UW201555_NC_056778_SEBASTES.MELANOSTICTUS.fa,Sebastes melanostictus
UW201556 PCR Product,UW201556_NC_056778_SEBASTES.MELANOSTICTUS.fa,Sebastes melanostictus
UW201557 PCR Product,UW201557_NC_056778_SEBASTES.MELANOSTICTUS.fa,Sebastes melanostictus
UW201561 PCR Product,UW201561_NC_056778_SEBASTES.MELANOSTICTUS.fa,Sebastes melanostictus
UW202495 PCR Product,UW202495_NC_056778_Sebastes.melanostictus.fa,Sebastes melanostictus
DQ678557,"Sebastes melanostomus voucher SWFSC129-66 D-loop, partial sequence; mitochondrial",Sebastes melanostomus
NC_082790 PCR Product,"Sebastes melanostomus voucher UW:152183 mitochondrion, complete genome",Sebastes melanostomus
OR482546 PCR Product,"Sebastes melanostomus voucher UW:152183 mitochondrion, complete genome",Sebastes melanostomus
UW114030 PCR Product,UW114030_NC_082790_Sebastes.melanostomus.fa,Sebastes melanostomus
UW153459 PCR Product,UW153459_NC_082790_SEBASTES.MELANOSTOMUS.fa,Sebastes melanostomus
UW155378 PCR Product,UW155378_NC_082790_SEBASTES.MELANOSTOMUS.fa,Sebastes melanostomus
UW155379 PCR Product,UW155379_NC_082790_SEBASTES.MELANOSTOMUS.fa,Sebastes melanostomus
UW155380 PCR Product,UW155380_NC_082790_SEBASTES.MELANOSTOMUS.fa,Sebastes melanostomus
UW201646 PCR Product,UW201646_NC_082790_SEBASTES.MELANOSTOMUS.fa,Sebastes melanostomus
DQ678558,"Sebastes mentella voucher SWFSC12-36 D-loop, partial sequence; mitochondrial",Sebastes mentella
DQ678560,"Sebastes miniatus voucher SWFSC159-72 D-loop, partial sequence; mitochondrial",Sebastes miniatus
NC_082765 PCR Product,"Sebastes miniatus voucher UW:114060 mitochondrion, complete genome",Sebastes miniatus
OR482519 PCR Product,"Sebastes miniatus voucher UW:114060 mitochondrion, complete genome",Sebastes miniatus
UW110465 PCR Product,UW110465_NC_082765_Sebastes.miniatus.fa,Sebastes miniatus
UW112763 PCR Product,UW112763_NC_082765_Sebastes.miniatus.fa,Sebastes miniatus
UW113143 PCR Product,UW113143_NC_082765_Sebastes.miniatus.fa,Sebastes miniatus
UW113147 PCR Product,UW113147_NC_082765_Sebastes.miniatus.fa,Sebastes miniatus
UW152316 PCR Product,UW152316_NC_082765_SEBASTES.MINIATUS.fa,Sebastes miniatus
UW158215 PCR Product,UW158215_NC_082765_SEBASTES.MINIATUS.fa,Sebastes miniatus
DQ678605,"Sebastes minor voucher FAKU83713 D-loop, partial sequence; mitochondrial",Sebastes minor
DQ678612,"Sebastes moseri voucher SIO95-33 D-loop, partial sequence; mitochondrial",Sebastes moseri
UW158214 PCR Product (reversed),UW158214_OP035099_Sebastes.moseri_mapped-Assembled,Sebastes moseri
UW158448 PCR Product (reversed),UW158448_OP035099_Sebastes.moseri_mapped-Assembled,Sebastes moseri
DQ678561,"Sebastes mystinus voucher SWFSC118-37 D-loop, partial sequence; mitochondrial",Sebastes mystinus
UW156300 PCR Product,UW156300_NC_082760_Sebastes.mystinus.fa,Sebastes mystinus
UW202929 PCR Product,UW202929_NC_082760_SEBASTES.MYSTINUS.fa,Sebastes mystinus
UW202942 PCR Product,UW202942_NC_082760_SEBASTES.MYSTINUS.fa,Sebastes mystinus
DQ678532,"Sebastes nebulosus voucher SWFSC151-60 D-loop, partial sequence; mitochondrial",Sebastes nebulosus
NC_082756 PCR Product,"Sebastes nebulosus voucher UW:112320 mitochondrion, complete genome",Sebastes nebulosus
OR482509 PCR Product,"Sebastes nebulosus voucher UW:112320 mitochondrion, complete genome",Sebastes nebulosus
DQ678562,"Sebastes nigrocinctus voucher SWFSC7-71 D-loop, partial sequence; mitochondrial",Sebastes nigrocinctus
MH378778 PCR Product,"Sebastes nigrocinctus isolate C0HA8AC mitochondrion, complete genome",Sebastes nigrocinctus
NC_039778 PCR Product,"Sebastes nigrocinctus isolate C0HA8AC mitochondrion, complete genome",Sebastes nigrocinctus
DQ678555,"Sebastes norvegicus voucher SWFSC12-24 D-loop, partial sequence; mitochondrial",Sebastes norvegicus
DQ678563,"Sebastes notius voucher SWFSC8-91 D-loop, partial sequence; mitochondrial",Sebastes notius
DQ678606,"Sebastes oblongus voucher FAKU130128 D-loop, partial sequence; mitochondrial",Sebastes oblongus
DQ678524,"Sebastes oculatus voucher SWFSC10-78 D-loop, partial sequence; mitochondrial",Sebastes oculatus
DQ678534,"Sebastes ovalis voucher SWFSC161-60 D-loop, partial sequence; mitochondrial",Sebastes ovalis
UW114056 PCR Product,UW114056_OP035099_Sebastes.ovalis.fa,Sebastes ovalis
UW119944 PCR Product,UW119944_OP035099_SEBASTES.OVALIS.fa,Sebastes ovalis
UW119945 PCR Product,UW119945_OP035099_SEBASTES.OVALIS.fa,Sebastes ovalis
UW119946 PCR Product,UW119946_OP035099_SEBASTES.OVALIS.fa,Sebastes ovalis
UW150598 PCR Product,UW150598_OP035099_Sebastes.ovalis.fa,Sebastes ovalis
UW152322 PCR Product,UW152322_OP035099_SEBASTES.OVALIS.fa,Sebastes ovalis
UW152323 PCR Product,UW152323_OP035099_SEBASTES.OVALIS.fa,Sebastes ovalis
DQ678596,"Sebastes owstoni voucher FAKU83264 D-loop, partial sequence; mitochondrial",Sebastes owstoni
DQ678593,"Sebastes pachycephalus voucher FAKU130088 D-loop, partial sequence; mitochondrial",Sebastes pachycephalus
DQ678565,"Sebastes paucispinis voucher SWFSC153-79 D-loop, partial sequence; mitochondrial",Sebastes paucispinis
NC_082779 PCR Product,"Sebastes paucispinis voucher UW:150011 mitochondrion, complete genome",Sebastes paucispinis
OR482533 PCR Product,"Sebastes paucispinis voucher UW:150011 mitochondrion, complete genome",Sebastes paucispinis
OR641537 PCR Product,"Sebastes paucispinis mitochondrion, complete genome",Sebastes paucispinis
OR641538 PCR Product,"Sebastes paucispinis mitochondrion, complete genome",Sebastes paucispinis
OR641539 PCR Product,"Sebastes paucispinis mitochondrion, complete genome",Sebastes paucispinis
OR641540 PCR Product,"Sebastes paucispinis mitochondrion, complete genome",Sebastes paucispinis
OR641541 PCR Product,"Sebastes paucispinis mitochondrion, complete genome",Sebastes paucispinis
UW113146 PCR Product,UW113146_NC_082779_Sebastes.paucispinis.fa,Sebastes paucispinis
UW113200 PCR Product,UW113200_NC_082779_Sebastes.paucispinis.fa,Sebastes paucispinis
UW114029 PCR Product,UW114029_NC_082779_Sebastes.paucispinis.fa,Sebastes paucispinis
UW117006 PCR Product,UW117006_NC_082779_Sebastes.paucispinis.fa,Sebastes paucispinis
UW150012 PCR Product,UW150012_NC_082779_Sebastes.paucispinis.fa,Sebastes paucispinis
UW150607 PCR Product,UW150607_NC_082779_Sebastes.paucispinis.fa,Sebastes paucispinis
UW150608 PCR Product,UW150608_NC_082779_Sebastes.paucispinis.fa,Sebastes paucispinis
UW152313 PCR Product,UW152313_NC_082779_SEBASTES.PAUCISPINIS.fa,Sebastes paucispinis
UW152315 PCR Product,UW152315_NC_082779_SEBASTES.PAUCISPINIS.fa,Sebastes paucispinis
DQ678607,"Sebastes peduncularis voucher SWFSC225-68 D-loop, partial sequence; mitochondrial",Sebastes peduncularis
DQ678566,"Sebastes phillipsi voucher SWFSC128-62 D-loop, partial sequence; mitochondrial",Sebastes phillipsi
DQ678567,"Sebastes pinniger voucher SWFSC76-19 D-loop, partial sequence; mitochondrial",Sebastes pinniger
NC_082766 PCR Product,"Sebastes pinniger voucher UW:114063 mitochondrion, complete genome",Sebastes pinniger
OP035173 PCR Product,"Sebastes pinniger voucher UW:114063 mitochondrion, complete genome",Sebastes pinniger
OR482520 PCR Product,"Sebastes pinniger voucher UW:114063 mitochondrion, complete genome",Sebastes pinniger
OR641542 PCR Product,"Sebastes pinniger mitochondrion, complete genome",Sebastes pinniger
OR641543 PCR Product,"Sebastes pinniger mitochondrion, complete genome",Sebastes pinniger
UW119943 PCR Product,UW119943_NC_082766_SEBASTES.PINNIGER.fa,Sebastes pinniger
UW153335 PCR Product,UW153335_NC_082766_SEBASTES.PINNIGER.fa,Sebastes pinniger
UW153337 PCR Product,UW153337_NC_082766_SEBASTES.PINNIGER.fa,Sebastes pinniger
UW155293 PCR Product,UW155293_NC_082766_SEBASTES.PINNIGER.fa,Sebastes pinniger
UW155416 PCR Product,UW155416_NC_082766_SEBASTES.PINNIGER.fa,Sebastes pinniger
DQ678615,"Sebastes polyspinis voucher SWFSC121-69 D-loop, partial sequence; mitochondrial",Sebastes polyspinis
hap2_31181_consensus,"Sebastes polyspinis voucher UW:150635 mitochondrion, complete genome",Sebastes polyspinis
hap3_31089_consensus,"Sebastes polyspinis voucher UW:150635 mitochondrion, complete genome",Sebastes polyspinis
hap4_31194_consensus,"Sebastes polyspinis voucher UW:150635 mitochondrion, complete genome",Sebastes polyspinis
hap5_31192_consensus,"Sebastes polyspinis voucher UW:150635 mitochondrion, complete genome",Sebastes polyspinis
hap6_ABLG9500_consensus,"Sebastes polyspinis voucher UW:150635 mitochondrion, complete genome",Sebastes polyspinis
NC_083047 PCR Product,"Sebastes polyspinis voucher UW:150635 mitochondrion, complete genome",Sebastes polyspinis
OR546208 PCR Product,"Sebastes polyspinis voucher UW:150635 mitochondrion, complete genome",Sebastes polyspinis
UW113251 PCR Product,UW113251_NC_083047_Sebastes.polyspinis.fa,Sebastes polyspinis
UW113252 PCR Product,UW113252_NC_083047_Sebastes.polyspinis.fa,Sebastes polyspinis
UW157693 PCR Product,UW157693-1_NC_083047_SEBASTES.POLYSPINIS.fa,Sebastes polyspinis
UW201603 PCR Product,UW201603_NC_083047_SEBASTES.POLYSPINIS.fa,Sebastes polyspinis
UW201604 PCR Product,UW201604_NC_083047_SEBASTES.POLYSPINIS.fa,Sebastes polyspinis
UW201605 PCR Product,UW201605_NC_083047_SEBASTES.POLYSPINIS.fa,Sebastes polyspinis
UW201606 PCR Product,UW201606_NC_083047_SEBASTES.POLYSPINIS.fa,Sebastes polyspinis
UW201607 PCR Product,UW201607_NC_083047_SEBASTES.POLYSPINIS.fa,Sebastes polyspinis
DQ678568,"Sebastes proriger voucher SWFSC89-65 D-loop, partial sequence; mitochondrial",Sebastes proriger
NC_082771 PCR Product,"Sebastes proriger voucher UW:118658 mitochondrion, complete genome",Sebastes proriger
OR482525 PCR Product,"Sebastes proriger voucher UW:118658 mitochondrion, complete genome",Sebastes proriger
OR641544 PCR Product,"Sebastes proriger mitochondrion, complete genome",Sebastes proriger
OR641545 PCR Product,"Sebastes proriger mitochondrion, complete genome",Sebastes proriger
UW048837 PCR Product,UW048837_NC_082771_Sebastes.proriger.fa,Sebastes proriger
UW049670 PCR Product,UW049670_NC_082771_Sebastes.proriger.fa,Sebastes proriger
UW114057 PCR Product,UW114057_NC_082771_Sebastes.proriger.fa,Sebastes proriger
UW119926 PCR Product,UW119926_NC_082771_SEBASTES.PRORIGER.fa,Sebastes proriger
DQ678533,"Sebastes rastrelliger voucher MA4 D-loop, partial sequence; mitochondrial",Sebastes rastrelliger
UW152176 PCR Product,UW152176_NC_082772_Sebastes.rastrelliger.fa,Sebastes rastrelliger
UW152177 PCR Product,UW152177_NC_082772_Sebastes.rastrelliger_mapped-Assembled,Sebastes rastrelliger
DQ678518,"Sebastes reedi voucher SWFSC74-11 D-loop, partial sequence; mitochondrial",Sebastes reedi
NC_082802 PCR Product,"Sebastes reedi voucher UW:158280 mitochondrion, complete genome",Sebastes reedi
OR482558 PCR Product,"Sebastes reedi voucher UW:158280 mitochondrion, complete genome",Sebastes reedi
OR641546 PCR Product,"Sebastes reedi mitochondrion, complete genome",Sebastes reedi
OR641547 PCR Product,"Sebastes reedi mitochondrion, complete genome",Sebastes reedi
UW201601 PCR Product,UW201601_NC_082802_SEBASTES.REEDI.fa,Sebastes reedi
UW202208 PCR Product,UW202208_NC_082802_SEBASTES.REEDI.fa,Sebastes reedi
DQ678569,"Sebastes rosaceus voucher SWFSC163-20 D-loop, partial sequence; mitochondrial",Sebastes rosaceus
NC_082791 PCR Product,"Sebastes rosaceus voucher UW:152331 mitochondrion, complete genome",Sebastes rosaceus
OR482547 PCR Product,"Sebastes rosaceus voucher UW:152331 mitochondrion, complete genome",Sebastes rosaceus
UW114046 PCR Product,UW114046_NC_082791_Sebastes.rosaceus.fa,Sebastes rosaceus
UW152339 PCR Product,UW152339_NC_082791_SEBASTES.ROSACEUS.fa,Sebastes rosaceus
UW152340 PCR Product,UW152340_NC_082791_SEBASTES.ROSACEUS.fa,Sebastes rosaceus
DQ678570,"Sebastes rosenblatti voucher SWFSC146-85 D-loop, partial sequence; mitochondrial",Sebastes rosenblatti
UW152188 PCR Product,UW152188_NC_082792_SEBASTES.ROSENBLATTI.fa,Sebastes rosenblatti
UW152338 PCR Product,UW152338_NC_082792_SEBASTES.ROSENBLATTI.fa,Sebastes rosenblatti
UW152343 PCR Product,UW152343_NC_082792_SEBASTES.ROSENBLATTI.fa,Sebastes rosenblatti
DQ678571,"Sebastes ruberrimus voucher SWFSC132-12 D-loop, partial sequence; mitochondrial",Sebastes ruberrimus
NC_085186 PCR Product,"Sebastes ruberrimus mitochondrion, complete genome",Sebastes ruberrimus
OR641496 PCR Product,"Sebastes ruberrimus mitochondrion, complete genome",Sebastes ruberrimus
OR641497 PCR Product,"Sebastes ruberrimus mitochondrion, complete genome",Sebastes ruberrimus
OR641498 PCR Product,"Sebastes ruberrimus mitochondrion, complete genome",Sebastes ruberrimus
OR641548 PCR Product,"Sebastes ruberrimus mitochondrion, complete genome",Sebastes ruberrimus
OR641549 PCR Product,"Sebastes ruberrimus mitochondrion, complete genome",Sebastes ruberrimus
UW110224 PCR Product,UW110224_NC_085186_Sebastes.ruberrimus.fa,Sebastes ruberrimus
UW114070 PCR Product,UW114070_NC_085186_Sebastes.ruberrimus.fa,Sebastes ruberrimus
UW119924 PCR Product,UW119924_NC_085186_Sebastes.ruberrimus.fa,Sebastes ruberrimus
DQ678572,"Sebastes rubrivinctus voucher SWFSC126-77 D-loop, partial sequence; mitochondrial",Sebastes rubrivinctus
UW155382 PCR Product,UW155382_NC_039777_SEBASTES.RUBRIVINCTUS.fa,Sebastes rubrivinctus
UW155391 PCR Product,UW155391_NC_039777_SEBASTES.rubrivinctus.fa,Sebastes rubrivinctus
UW155392 PCR Product,UW155392_NC_039777_SEBASTES.rubrivinctus.fa,Sebastes rubrivinctus
UW156309 PCR Product,UW156309_NC_039777_Sebastes.rubrivinctus.fa,Sebastes rubrivinctus
DQ678611,"Sebastes rufinanus voucher LT22 D-loop, partial sequence; mitochondrial",Sebastes rufinanus
DQ678573,"Sebastes rufus voucher SWFSC176-33 D-loop, partial sequence; mitochondrial",Sebastes rufus
UW114050 PCR Product (reversed),UW114050_OP035099_Sebastes.rufus_Assembled,Sebastes rufus
UW152189 PCR Product (reversed),UW152189_OP035099_Sebastes.rufus_mapped-Assembled,Sebastes rufus
UW152190 PCR Product (reversed),UW152190_OP035099_Sebastes.rufus_mapped-Assembled,Sebastes rufus
UW153310 PCR Product (reversed),UW153310_OP035099_Sebastes.rufus_mapped-Assembled,Sebastes rufus
DQ678535,"Sebastes saxicola voucher SWFSC181-43 D-loop, partial sequence; mitochondrial",Sebastes saxicola
DQ678536,"Sebastes saxicola voucher SWFSC128-83 D-loop, partial sequence; mitochondrial",Sebastes saxicola
NC_082759 PCR Product,"Sebastes saxicola voucher UW:114024 mitochondrion, complete genome",Sebastes saxicola
OR482513 PCR Product,"Sebastes saxicola voucher UW:114024 mitochondrion, complete genome",Sebastes saxicola
OR641550 PCR Product,"Sebastes saxicola mitochondrion, complete genome",Sebastes saxicola
OR641551 PCR Product,"Sebastes saxicola mitochondrion, complete genome",Sebastes saxicola
UW048790 PCR Product,UW048790_NC_082759_Sebastes.saxicola.fa,Sebastes saxicola
UW110464 PCR Product,UW110464_NC_082759_Sebastes.saxicola.fa,Sebastes saxicola
UW201230 PCR Product,UW201230_NC_082759_SEBASTES.SAXICOLA.fa,Sebastes saxicola
UW202809 PCR Product,UW202809_NC_082759_SEBASTES.SAXICOLA.fa,Sebastes saxicola
DQ678584,"Sebastes schlegelii voucher FAKU130219 D-loop, partial sequence; mitochondrial",Sebastes schlegelii
DQ678588,"Sebastes scythropus voucher FAKU81566 D-loop, partial sequence; mitochondrial",Sebastes scythropus
DQ678574,"Sebastes semicinctus voucher SWFSC155-99 D-loop, partial sequence; mitochondrial",Sebastes semicinctus
UW049112 PCR Product,UW049112_NC_082759_Sebastes.semicinctus.fa,Sebastes semicinctus
UW049113 PCR Product,UW049113_NC_082759_Sebastes.semicinctus.fa,Sebastes semicinctus
UW114023 PCR Product,UW114023_NC_082759_Sebastes.semicinctus.fa,Sebastes semicinctus
ABLG11660,"Sebastes serranoides mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG11660",Sebastes serranoides
DQ678575,"Sebastes serranoides voucher SWFSC147-84 D-loop, partial sequence; mitochondrial",Sebastes serranoides
DQ678576,"Sebastes serriceps voucher SWFSC153-60 D-loop, partial sequence; mitochondrial",Sebastes serriceps
UW114031 PCR Product (reversed),UW114031_NC_039777_Sebastes.serriceps_Assembled,Sebastes serriceps
UW202935 PCR Product (reversed),UW202935_NC_039777_Sebastes.serriceps_mapped-Assembled,Sebastes serriceps
DQ678610,"Sebastes simulator voucher SWFSC187-15 D-loop, partial sequence; mitochondrial",Sebastes simulator
UW114049 PCR Product,UW114049_OP035238_Sebastes.simulator.fa,Sebastes simulator
UW159881 PCR Product,UW159881_OP035238_SEBASTES.SIMULATOR.fa,Sebastes simulator
UW159882 PCR Product,UW159882_OP035238_SEBASTES.SIMULATOR.fa,Sebastes simulator
DQ678614,"Sebastes sinensis voucher SWFSC225-80 D-loop, partial sequence; mitochondrial",Sebastes sinensis
DQ678577,"Sebastes spinorbis voucher SWFSC144-68 D-loop, partial sequence; mitochondrial",Sebastes spinorbis
DQ678587,"Sebastes steindachneri voucher FAKU83715 D-loop, partial sequence; mitochondrial",Sebastes steindachneri
DQ678597,"Sebastes taczanowskii voucher SWFSC14-57 D-loop, partial sequence; mitochondrial",Sebastes taczanowskii
DQ678585,"Sebastes thompsoni voucher FAKU130111 D-loop, partial sequence; mitochondrial",Sebastes thompsoni
DQ678595,"Sebastes trivittatus voucher SIO0391 D-loop, partial sequence; mitochondrial",Sebastes trivittatus
DQ678578,"Sebastes umbrosus voucher SWFSC153-62 D-loop, partial sequence; mitochondrial",Sebastes umbrosus
UW114032 PCR Product,UW114032_CM026822_Sebastes.umbrosus.fa,Sebastes umbrosus
UW150015 PCR Product,UW150015_CM026822_Sebastes.umbrosus.fa,Sebastes umbrosus
UW150016 PCR Product,UW150016_CM026822_Sebastes.umbrosus.fa,Sebastes umbrosus
UW156308 PCR Product,UW156308_CM026822_Sebastes.umbrosus.fa,Sebastes umbrosus
AB778921,"Sebastes variabilis mitochondrial DNA, D-loop, partial sequence, specimen_voucher: NSMT:P76226",Sebastes variabilis
NC_060711 PCR Product,"Sebastes variabilis isolate 267107 mitochondrion, complete genome",Sebastes variabilis
OK048742 PCR Product,"Sebastes variabilis isolate 267107 mitochondrion, complete genome",Sebastes variabilis
DQ678579,"Sebastes variegatus voucher SWFSC173-8 D-loop, partial sequence; mitochondrial",Sebastes variegatus
NC_082788 PCR Product,"Sebastes variegatus voucher UW:151401 mitochondrion, complete genome",Sebastes variegatus
OR482544 PCR Product,"Sebastes variegatus voucher UW:151401 mitochondrion, complete genome",Sebastes variegatus
OR641552 PCR Product,"Sebastes variegatus mitochondrion, complete genome",Sebastes variegatus
OR641553 PCR Product,"Sebastes variegatus mitochondrion, complete genome",Sebastes variegatus
UW159883 PCR Product,UW159883_NC_082788_SEBASTES.VARIEGATUS.fa,Sebastes variegatus
DQ678580,"Sebastes viviparus voucher SWFSC35-88 D-loop, partial sequence; mitochondrial",Sebastes viviparus
DQ678581,"Sebastes vulpes voucher FAKU130099 D-loop, partial sequence; mitochondrial",Sebastes vulpes
DQ678582,"Sebastes wilsoni voucher SWFSC174-76 D-loop, partial sequence; mitochondrial",Sebastes wilsoni
NC_082762 PCR Product,"Sebastes wilsoni voucher UW:114041 mitochondrion, complete genome",Sebastes wilsoni
OR482516 PCR Product,"Sebastes wilsoni voucher UW:114041 mitochondrion, complete genome",Sebastes wilsoni
UW119949 PCR Product,UW119949_NC_082762_SEBASTES.WILSONI.fa,Sebastes wilsoni
UW153448 PCR Product,UW153448_NC_082762_SEBASTES.WILSONI.fa,Sebastes wilsoni
DQ678583,"Sebastes zacentrus voucher SWFSC20-99 D-loop, partial sequence; mitochondrial",Sebastes zacentrus
NC_082763 PCR Product,"Sebastes zacentrus voucher UW:114054 mitochondrion, complete genome",Sebastes zacentrus
OR482517 PCR Product,"Sebastes zacentrus voucher UW:114054 mitochondrion, complete genome",Sebastes zacentrus
OR641499 PCR Product,"Sebastes zacentrus mitochondrion, complete genome",Sebastes zacentrus
OR641554 PCR Product,"Sebastes zacentrus mitochondrion, complete genome",Sebastes zacentrus
DQ678619,"Sebastiscus marmoratus voucher SWFSC112-51 D-loop, partial sequence; mitochondrial",Sebastiscus marmoratus
DQ678603,"Sebastolobus alascanus voucher IIF10 D-loop, partial sequence; mitochondrial",Sebastolobus alascanus
NC_082820 PCR Product,"Sebastolobus alascanus voucher UW:49115 mitochondrion, complete genome",Sebastolobus alascanus
OR482578 PCR Product,"Sebastolobus alascanus voucher UW:49115 mitochondrion, complete genome",Sebastolobus alascanus
OR641556 PCR Product,"Sebastolobus alascanus mitochondrion, complete genome",Sebastolobus alascanus
OR641557 PCR Product,"Sebastolobus alascanus mitochondrion, complete genome",Sebastolobus alascanus
OR641559 PCR Product,"Sebastolobus alascanus mitochondrion, complete genome",Sebastolobus alascanus
UW201647 PCR Product,UW201647.NC_082820.SEBASTOLOBUS.ALASCANUS.fa,Sebastolobus alascanus
UW202205 PCR Product,UW202205.NC_082820.SEBASTOLOBUS.ALASCANUS.fa,Sebastolobus alascanus
AB090386.1 PCR Product,"Sebastolobus macrochir mitochondrial genes for cytochrome b, tRNA-Thr, tRNA-Pro, D-loop, tRNA-Phe, 12S rRNA, partial cds and complete and partial sequences",Sebastolobus macrochir
AB114906.1 PCR Product,"Sebastolobus macrochir mitochondrial cytb gene for cytochrome b, complete cds, and tRNA-Thr, tRNA-Pro, D-loop sequences",Sebastolobus macrochir
NC_082781 PCR Product,"Sebastolobus macrochir voucher UW:150626 mitochondrion, complete genome",Sebastolobus macrochir
